UrbanZone,County,Population
Castletownroche,Cork,509
Donegal,Donegal,2749
Waterford city and suburbs,Waterford,60079
Slane,Meath,1445
Kilcormac,Offaly,1051
The Swan,Laois,275
Newcastle,Wicklow,1010
Walsh Island or Coolagary,Offaly,480
Portarlington,Laois,9288
Barntown,Wexford,505
Clondulane,Cork,470
Tralee,Kerry,26079
Kildrum,Donegal,518
Blessington,Wicklow,5611
Paulstown,Kilkenny,919
Newtownmountkennedy,Wicklow,3539
Kells,Kilkenny,6608
Glengarriff,Cork,211
Kildare,Kildare,10302
Convoy,Donegal,1702
Ballingarry,Tipperary,570
Ballynoe,Cork,211
Donard,Wicklow,238
Killenaule,Tipperary,755
Carnew,Wicklow,1233
Bridgetown,Wexford,544
Elphin,Roscommon,715
Dromina,Cork,312
Tuam,Galway,9647
Dromineer,Tipperary,94
Ballyagran,Limerick,166
Rathmore,Kerry,766
Kildalkey,Meath,739
Ballinasloe,Galway,6597
Calverstown,Kildare,652
Lisdoonvarna,Clare,934
Templetuohy,Tipperary,249
Carrignavar,Cork,563
Fedamore,Limerick,381
Swords,Dublin,40776
Cloghfin,Donegal,121
Annascaul,Kerry,291
Youghal,Cork,8564
An Spidéal,Galway,254
Ferbane,Offaly,1324
Belgooly,Cork,823
Gowran,Kilkenny,847
Kilkee,Clare,1214
Kilmainhamwood,Meath,362
Clonroche,Wexford,329
Rathvilly,Carlow,1074
Kilteely,Limerick,197
Cobh,Cork,14148
Collon,Louth,864
Kentstown,Meath,1195
Charlestown-Bellahy,Mayo,1172
Kells,Kilkenny,291
Westport,Mayo,6872
Callan,Kilkenny,2678
Ballinrobe,Mayo,3148
Knock,Mayo,1029
Boherlahan,Tipperary,171
Balrothery,Dublin,2282
Galbally,Limerick,269
Kilrush,Clare,2649
Rathmolyon,Meath,462
Collinstown,Westmeath,351
Coolaney,Sligo,1155
Baltinglass,Wicklow,2611
Mullinahone,Tipperary,523
Skerries,Dublin,10743
Drumshanbo,Leitrim,1240
Castlemagner,Cork,354
Killashee,Longford,247
Millstreet,Cork,1722
Rathowen,Westmeath,187
Mohill,Leitrim,1027
Kilmuckridge,Wexford,792
Ballycastle,Mayo,220
Clane,Kildare,8152
Cut Bush,Kildare,297
Rathtoe,Carlow,296
Ballyhack,Wexford,211
Carrick-On-Shannon,Leitrim,4743
Mountmellick,Laois,4905
Crosshaven,Cork,3263
Ballyduff,Kerry,447
Ballyhaise,Cavan,748
Ballyheigue,Kerry,546
Wicklow,Wicklow,12957
Sligo,Sligo,20608
Sallins,Kildare,6269
Ardnacrusha,Clare,1229
Killenard,Laois,741
Roundstone,Galway,231
Kildavin,Carlow,207
Pollagh,Offaly,231
Geashill,Offaly,392
Ballycotton,Cork,544
Two Mile House,Kildare,474
Clonmany,Donegal,569
Tyrrellspass,Westmeath,480
Gort,Galway,2870
Glenties,Donegal,927
Passage East,Waterford,634
Carlanstown,Meath,718
Gneevgullia,Kerry,300
Ardmore,Waterford,468
Toomevara,Tipperary,283
Dunhill,Waterford,223
Urlingford,Kilkenny,1196
Nenagh,Tipperary,9895
Mullingar,Westmeath,22667
Ardagh,Limerick,273
Omeath,Louth,778
Kinsale,Cork,5991
Cahir,Tipperary,3679
Portlaw,Waterford,1881
Baltray,Louth,150
Laragh,Wicklow,445
Kilcullen,Kildare,3815
Ballylanders,Limerick,337
Killeagh,Cork,895
Tulsk,Roscommon,191
Ballymacoda,Cork,223
Fennagh,Carlow,479
Ballingarry,Tipperary,291
Carrig on Bannow,Wexford,391
Ballycolla,Laois,133
Shannonbridge,Offaly,167
Corofin,Clare,793
Shanagolden,Limerick,150
Monamolin,Wexford,250
Oilgate,Wexford,401
Dumha Thuama,Mayo,110
Ashbourne,Meath,15680
Clonegall,Carlow,249
Na Forbacha,Galway,868
Maynooth,Kildare,17259
Carrigtwohill,Cork,5568
Banteer,Cork,362
Knightstown,Kerry,244
Lismore,Waterford,1347
Pallasgreen,Limerick,229
Clongeen,Wexford,263
Ballivor,Meath,1870
Carney,Sligo,373
Moneygall,Offaly,374
Mooncoin,Kilkenny,1184
Moroe,Limerick,1432
Inchigeelagh,Cork,136
Glaslough,Monaghan,443
Lixnaw,Kerry,758
Abbeyknockmoy,Galway,318
Emyvale,Monaghan,638
Daingean,Offaly,1223
Clarina,Limerick,559
Athleague,Roscommon,296
Muff,Donegal,1418
Bailieborough,Cavan,2974
Piercetown,Wexford,308
Butlersbridge,Cavan,271
Castlefinn,Donegal,730
Cavan,Cavan,11741
Termonbarry,Roscommon,699
Ballyroe,Kildare,196
Cappoquin,Waterford,778
Moneenroe,Kilkenny,739
Lackaghbeg,Galway,576
Rathcoole,Dublin,5792
Annacotty,Limerick,3398
Enniscorthy,Wexford,12310
Castlebellingham-Kilsaran,Louth,1232
Crusheen,Clare,649
Murntown,Wexford,342
Courtbrack,Cork,459
Ardfinnan,Tipperary,978
Brittas,Dublin,166
Donabate,Dublin,9669
Rush,Dublin,10875
Ballyclogh,Cork,272
Kilflynn,Kerry,144
Donore,Meath,767
Toornafulla,Limerick,204
Mallow,Cork,13456
Stradbally,Laois,1404
Castlebar,Mayo,13054
Kilkishen,Clare,651
Liscannor,Clare,135
Mín Lárach,Donegal,453
Rampark,Louth,465
Cromane,Kerry,206
Mungret,Limerick,372
Buncrana,Donegal,6971
Shanballymore,Cork,184
Mitchelstown,Cork,3744
Whitechurch,Cork,719
Oram,Monaghan,181
Piltown,Kilkenny,1275
Turloughmore,Galway,243
Milford,Cork,1076
Pallaskenry,Limerick,610
Granard,Longford,1058
Adamstown,Wexford,326
Grange,Sligo,569
Errill,Laois,192
Leitrim,Leitrim,701
Balbriggan,Dublin,24322
Ballyhooly,Cork,610
Listowel,Kerry,4794
Béal Átha An Ghaorthaidh,Cork,235
Lahardane,Mayo,200
Three Mile House,Monaghan,148
Baile Chláir,Galway,1632
Tinure,Louth,530
Kilkelly,Mayo,429
Killeigh,Offaly,183
Killorglin,Kerry,2163
Clogh,Kilkenny,298
Loughshinny,Dublin,741
Athboy,Meath,2596
Kilcummin,Kerry,612
Lisronagh,Tipperary,184
Ennis,Clare,27923
Ballintra,Donegal,242
Kilteel,Kildare,262
Crossmolina,Mayo,1134
Portmagee,Kerry,116
Castledermot,Kildare,1685
Caherconlish,Limerick,1569
Kildysart,Clare,436
Abbeyfeale,Limerick,2206
Dunmanway,Cork,1964
Edenderry,Offaly,7888
Conna,Cork,609
Duncannon,Wexford,281
Belcarra,Mayo,164
Shercock,Cavan,574
Bruree,Limerick,641
Birr,Offaly,4726
Rathdrum,Wicklow,2264
Killala,Mayo,587
Aghada-Rostellan,Cork,1159
Parteen,Clare,889
Ballyhogue,Wexford,255
Longwood,Meath,1685
Slieverue,Kilkenny,458
Drumkeeran,Leitrim,287
Hospital,Limerick,674
Bennettsbridge,Kilkenny,664
Thomastown,Kilkenny,2305
Duleek,Meath,4899
Kilbrin,Cork,176
Barndarrig,Wicklow,253
Gurteen,Sligo,421
Manorcunningham,Donegal,830
Loch Gowna,Cavan,168
Cappamore,Limerick,668
Moylough,Galway,526
Mucklagh,Offaly,918
Enniskerry,Wicklow,2000
Ballybay,Monaghan,1329
Clashmore,Waterford,280
Gleann Cholm Cille,Donegal,167
Belturbet,Cavan,1610
Borrisoleigh,Tipperary,724
Kilmacrennan,Donegal,888
Leap,Cork,167
Unionhall,Cork,359
Clarinbridge,Galway,905
Abbeydorney,Kerry,528
Kilmurry,Clare,229
Graiguenamanagh-Tinnahinch,Kilkenny,1506
Knockraha,Cork,517
Portmarnock,Dublin,10750
Dromiskin,Louth,1292
Robinstown,Meath,412
Goresbridge,Kilkenny,317
Ballyoulster,Kildare,523
Dundrum,Tipperary,221
Clones,Monaghan,1885
Drommahane,Cork,947
Villierstown,Waterford,297
Glanworth,Cork,628
Littleton,Tipperary,414
Bohola,Mayo,143
Courtown,Wexford,4365
Castlebridge,Wexford,1850
Lemybrien,Waterford,234
