GUID,GEOGID,GEOGDESC,Reference Geography,LEA_GUID,LEA,LEA_ID,LEA_OFFICIAL,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Population
2ae19629-3f66-13a3-e055-000000000001,1340403,CARRIGALINE,CSO LEA-2022,2ae19629-3f66-13a3-e055-000000000001,CARRIGALINE,1340403,Y,2ae19629-14a3-13a3-e055-000000000001,CORK COUNTY COUNCIL,CK,CORK,Corcaigh,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,39145
2ae19629-3f4d-13a3-e055-000000000001,1360420,GALWAY CITY WEST,CSO LEA-2022,2ae19629-3f4d-13a3-e055-000000000001,GALWAY CITY WEST,1360420,Y,2ae19629-1435-13a3-e055-000000000001,GALWAY CITY COUNCIL,GC,GALWAY,Gaillimh,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,26618
2ae19629-3ef4-13a3-e055-999330000001,1360405,GORT-KINVARA,CSO LEA-2022,2ae19629-3ef4-13a3-e055-999330000001,GORT-KINVARA,1360405,Y,2ae19629-14a5-13a3-e055-000000000001,GALWAY COUNTY COUNCIL,GY,GALWAY,Gaillimh,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,25923
2ae19629-3f41-13a3-e055-000000000001,1340406,BANTRY-WEST CORK,CSO LEA-2022,2ae19629-3f41-13a3-e055-000000000001,BANTRY-WEST CORK,1340406,Y,2ae19629-14a3-13a3-e055-000000000001,CORK COUNTY COUNCIL,CK,CORK,Corcaigh,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,24030
2ae19629-3f68-13a3-e055-000000000001,1340405,BANDON-KINSALE,CSO LEA-2022,2ae19629-3f68-13a3-e055-000000000001,BANDON-KINSALE,1340405,Y,2ae19629-14a3-13a3-e055-000000000001,CORK COUNTY COUNCIL,CK,CORK,Corcaigh,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,40387
2ae19629-3f46-13a3-e055-000000000001,1350403,BUNCRANA,CSO LEA-2022,2ae19629-3f46-13a3-e055-000000000001,BUNCRANA,1350403,Y,2ae19629-14a4-13a3-e055-000000000001,DONEGAL COUNTY COUNCIL,DL,DONEGAL,Dún na nGall,Ulster,IE041,Border,IE04,Northern and Western,IE0,Ireland,22618
e97b193e-2389-4b62-8e77-25ed84bbbc15,13260410,BLACKROCK,CSO LEA-2022,e97b193e-2389-4b62-8e77-25ed84bbbc15,BLACKROCK,13260410,N,2ae19629-149f-13a3-e055-000000000001,DUN LAOGHAIRE-RATHDOWN COUNTY COUNCIL,DR,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,34280
2ae19629-3ef4-13a3-e055-000005300001,13220402,LISMORE,CSO LEA-2022,2ae19629-3ef4-13a3-e055-000005300001,LISMORE,13220402,Y,2ae19629-149a-13a3-e055-000000000001,WATERFORD CITY AND COUNTY COUNCIL,WD,WATERFORD,Port Láirge,Munster,IE052,South-East,IE05,Southern,IE0,Ireland,11403
2ae19629-3f75-13a3-e055-000000000001,1390401,KILKENNY,CSO LEA-2022,2ae19629-3f75-13a3-e055-000000000001,KILKENNY,1390401,Y,2ae19629-14a8-13a3-e055-000000000001,KILKENNY COUNTY COUNCIL,KK,KILKENNY,Cill Chainnigh,Leinster,IE052,South-East,IE05,Southern,IE0,Ireland,29653
2ae19629-3f62-13a3-e055-000000000001,1330403,ENNIS,CSO LEA-2022,2ae19629-3f62-13a3-e055-000000000001,ENNIS,1330403,Y,2ae19629-14a2-13a3-e055-000000000001,CLARE COUNTY COUNCIL,CE,CLARE,An Clár,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,33952
