Church Name,Street Address,Street Address Line 2,City,County,Postal / EirCode,Website,Denomination,Latitude,Longitude
Mallow St Christian Fellowship,Mallow Street Hall,Mallow Street,Limerick City,Limerick,V94 DP60,mallowstchristians.com,Brethren,52.65995,-8.629589
Newcastle West Bible Fellowship,North Quay,,Newcastle West,Limerick,,https://www.ncwbiblefellowship.com/,Brethren,52.449692,-9.057948
Riverside Gospel Hall,2 Allen Square,,Bandon,Cork,P72 TE29,https://www.riversidegospelhall.com/,Brethren,51.747039,-8.741141
Shankill Bible Church,Glen Maris House,Eaton Wood Grove,Shankill,Dublin,D18 WK27,https://www.shankillbiblechurch.org/,Brethren,53.234116,-6.116952
Wicklow Christian Assembly,6 Wentworth Place,,Wicklow Town,Wicklow,,,Brethren,52.9818550,-6.0466405
Ballinasloe Christian Fellowship,The Storehouse,"Harbour Road, Townparks",Ballinasloe,Galway,H53 YD51,https://www.ballinasloechristianfellowship.com,Calvary Chapel,53.3267919,-8.2204615
Calvary Chapel Dublin,Mulhuddart Community Centre,Church Road,Mulhuddart,Dublin,D15 R2VF,https://www.ccdublin.com,Calvary Chapel,53.4053206,-6.3940431
Calvary Church Gorey,"Ounavarra Suite, Amber Springs Hotel",,Gorey,Wexford,,,Calvary Chapel,52.669096,-6.291371
Calvary Cork,25 South Side Industrial Estate,Pouladuff Road,Cork,Cork,T12 R792,https://www.calvarycork.org,Calvary Chapel,51.8719849,-8.4883813
Calvary Galway,Galway Bay Hotel,Upper Salthill,Galway,Galway,H91 W295,https://www.calvarygalway.com/,Calvary Chapel,53.266791,-9.069394
Calvary Sligo,Devins Drive,Abbeyquarter South,Sligo,Sligo,F91 KNN3,https://www.calvarysligo.org/,Calvary Chapel,54.266434,-8.464482
Calvary Waterford,59/60 Lower Yellow Road,,Waterford City,Waterford,X91 W278,https://www.calvarywaterford.com,Calvary Chapel,52.259513,-7.122727
North Clare Community Church,Ennistymon Community Centre,Parliament St,Ennistymon,Clare,V95 X8XC,https://www.northclarechurch.com,Calvary Chapel,52.9405119,-9.291085
Chinese Gospel Church Abbey Street,49 Middle Abbey Street,,Dublin 1,Dublin,D01 Y6W3,https://cgci.ie/abbey-street/,Chinese Gospel Church,53.347521,-6.262674
Chinese Gospel Church Esker House,"Esker House, Esker Road, Esker South",,Lucan,Dublin,,https://cgci.ie,Chinese Gospel Church,53.349466,-6.441046
Chinese Gospel Church Portlaoise,Unit A11 National Enterprise Park,,Portlaoise,Laois,R32 HA21,,Chinese Gospel Church,53.0226820,-7.3146200
Bray Christian Assembly,"Gospel Hall, 27 Florence Road",,Bray,Wicklow,A98 RD68,https://christianassemblybray.com,Christian Assembly,53.203623,-6.107496
Kilkenny Christian Assembly,Lyrath,Carlow Road,Kilkenny,Kilkenny,R95 DW98,https://www.kilkennychristianassembly.com/,Christian Assembly,52.645567,-7.20649
Abundant Life Christian Church,"Crown House, 55/56 Henry Street",,Limerick,Limerick,V94 PTY8,https://www.abunlife.com/,Christian Churches Ireland,52.66103,-8.63137
Calvary Christian Centre Ltd,19A Muirfield Drive,"Off Naas Road, Inchicore, Bluebell",Dublin 12,Dublin,,https://ccireland.ie/,Christian Churches Ireland,53.329004,-6.332522
D24 Church,Movies@TheSquare Level 3 The Square Tallaght,,Dublin,Dublin,,,Christian Churches Ireland,53.2870720,-6.3704490
Discovery Church (Galway),"Industrial Development Agency (IDA) Small Business Centre, Park Tuam Road",,Galway,Galway,H91 RK5Y,https://discoverychurch.ie/,Christian Churches Ireland,53.28911,-9.02164
Discovery Church (Tuam),"Vincent De Paul Family Centre (TUSLA Building), Dublin Road, Glebe",,Tuam,Galway,H54 AH75,https://discoverychurch.ie/,Christian Churches Ireland,53.511193,-8.845648
Expectation Church,"Screen 6, Vue Cinema, Liffey Valley Shopping Centre",,Dublin 22,Dublin,D22 R6K8,https://www.weareexpectation.com/,Christian Churches Ireland,53.3522478,-6.3936439
Gateway Church (Tullow),Rathoe Road,,Tullow,Carlow,R93 Y3PW,https://www.gatewaychurchtullow.ie/,Christian Churches Ireland,52.7958005,-6.7541132
Hope Centre,"Old St. Mary's Church, St Agnes Terrace, Crumlin",,Dublin 12,Dublin,D12 YC80,https://hopecentre.ie/,Christian Churches Ireland,53.3227635,-6.319465
Hope Church Ennis,Maria Assumpta Hall Station Road,,Ennis,Clare,V95 HT99,,Christian Churches Ireland,52.8412671,-8.9815030
Lighthouse Church (Dublin),"Odeon Cinema, Blanchardstown Shopping Centre, Blanchardstown Road South",,Dublin 15,Dublin,D15 XKC7,https://www.lighthousechurch.ie/,Christian Churches Ireland,53.3925138,-6.3912158
Lighthouse Church (Dundalk),"The Venue, Imperial Hotel, Park Street",,Dundalk,Louth,A91 ND6P,https://www.lighthousechurch.ie/,Christian Churches Ireland,54.003123,-6.402065
Lighthouse Church (Navan),Johnstown Educational Campus,,Navan,Meath,C15 AE03,https://www.lighthousechurch.ie/,Christian Churches Ireland,53.65283,-6.67939
Naas Community Church,Millbrook,,Naas,Kildare,W91 EH96,https://www.naaschurch.ie/,Christian Churches Ireland,53.2166451,-6.6589422
New Life Family Church (Drogheda),"Units 1 & 2, Mill Wharf, Merchants Quay",,Drogheda,Louth,A92 H324,https://www.nlfc.ie/,Christian Churches Ireland,53.7152303,-6.3458384
Open Arms Church (Newbridge),"4 The Pier, Irish Row",,Newbridge,Kildare,W12 HT38,https://openarms.ie/,Christian Churches Ireland,53.1723845,-6.7960429
Open Arms Church (Sandyford),"69c Heather Road, Sandyford Business Park",,Dublin,Dublin,D18 Y9F6,https://openarms.ie/,Christian Churches Ireland,53.273702,-6.212426
St. Mark's Church Dublin,42A Pearse Street,,Dublin 2,Dublin,D02 R123,https://www.stmarks.ie,Christian Churches Ireland,53.344737,-6.251019
Wexford Christian Community Church,"Unit 31, Westpoint Business Park, Clonard",,Wexford,Wexford,Y35 PR94,http://www.wxccc.org/,Christian Churches Ireland,52.3843486,-6.4498605
Christian Congregation in Ireland - Ennis,Rear of 8 Carmody Street,Clonroad Beg,Ennis,Clare,,https://www.ccirl.ie/churchlocator/,Christian Congregation in Ireland,52.84251,-8.987792
Telugu Church - Christian Fellowship Ireland - Telugu & English,"Scoil Áine Naofa, Newcastle Rd, Esker Dr",,Lucan,Dublin,,https://cfidublin.wixsite.com/cfi-church,Christian Fellowship (Telugu),53.390156,-6.435989
Church Of Christ Dublin,47 Ranelagh Road,,Dublin 6,Dublin,D06 C2P3,https://www.churchofchristireland.ie,Church of Christ,53.326938,-6.256796
Church of Christ Knocklyon,Knocklyon Road Templeogue,,Dublin,Dublin,D16 Y157,,Church of Christ,53.2841571,-6.3259815
Ranelagh Christian Church,47A Ranelagh Road,,Ranelagh,Dublin,D06 NX99,,Church of Christ,53.326833,-6.256637
The Church of Christ,New Testament Church Jamestown,,Carrick-on-Shannon,Leitrim,,,Church of Christ,53.9490,-8.0900
St Catherine's Church of Ireland,Thomas Street,The Liberties,Dublin 8,Dublin,D08 DNA7,https://saintcatherines.ie,Church of Ireland,53.342949,-6.281226
Nazarene Community Church - Greystones,"10 Burnaby Avenue, Killincarrig",,Greystones,Wicklow,,https://nazarene.ie,Church of the Nazarene,53.131311,-6.071152
Raphoe Congregational Church,Derry Road,Magheraboy,Raphoe,Donegal,,https://raphoechurch.com/,Congregational,54.875916,-7.588112
Ballyfermot Community Church,1 Drumfinn Park,"Drumfinn, Ballyfermot",Dublin 10,Dublin,D10 TX63,https://elimbcc.com/,Elim / Pentecostal,53.344088,-6.359767
Livingwater Church,33 Slaney Road,"Dublin Industrial Estate, Glasnevin / Finglas",Dublin 11,Dublin,D11 VA40,facebook.com/livingwaterchurchfinglas,Elim / Pentecostal,53.373848,-6.290634
Monaghan Elim Pentecostal Church,Drumbear,Ballybay Road,Monaghan,Monaghan,H18 TE81,https://www.monaghanelim.com/,Elim / Pentecostal,54.234854,-6.963795
New Life Church Birr,"New Order District, Syngefield Business Park",,Birr,Offaly,R42 PR27,,Elim / Pentecostal,53.0925949,-7.8953263
Swords Elim Church,"St Colmcille's GFC, Glen Ellan Road",Holybanks,Swords,Dublin,K67 H996,https://swordselim.weebly.com/,Elim / Pentecostal,53.46795,-6.221682
West Cork Community Church,McSwiney Quay,,Bandon,Cork,,,Elim / Pentecostal,51.7454725,-8.7379000
Oasis Christian Fellowship,"Oasis Christian Centre, Gaol Road",,Roscrea,Tipperary,,,Elim Pentecostal,52.9530000,-7.8010000
Sligo City Church,"Mercy College, Chapel Hill, Abbeyquarter South",,Sligo,Sligo,F91 CF80,,Elim Pentecostal,54.2669594,-8.4686420
Firebrand Christian Church,Scoil Chaitlin Maude Hazelgrove Tallaght,,Dublin,Dublin,D24 RYW1,,Four12,53.27413,-6.4028
Immanuel Church Dublin,28 Bachelors Walk,,Dublin 1,Dublin,D01 P4V6,https://immanuelchurchdublin.org,ICM,53.347479,-6.260487
City Church Dublin,ODEON Point Square,"East Wall Road, Point Square",Dublin 1,Dublin,,https://citychurchdublin.ie,ICM,53.34604,-6.272206
Christ Church North Dublin,"Baldoyle Community Hall, Main Street, Baldoyle",,Dublin 13,Dublin,,,ICM,53.3994197,-6.1277145
Iranian Gospel Church Dublin,28 Bachelors Walk,,Dublin,Dublin,,,ICM,53.3477,-6.2606
Calvary Baptist Church,Wilton Park House Bishopstown,,Cork,Cork,T12 YX3Y,,Independent Baptist,51.8779173,-8.5121851
Clare Bible Study,53 Parnell Street,,Ennis,Clare,V95 FTK5,,Independent Baptist,52.8437679,-8.9857396
Athenry Gospel Church,Athenry Community Hall Clarke Street,,Athenry,Galway,H65 KT10,,Independent Evangelical,"53.2973013,-8.7478859",
Bantry Christian Fellowship Church,Tower Street,near The Quay,Bantry,Cork,,https://bantrychristianfellowship.ie/,Independent Evangelical,51.679898,-9.456097
Barrowvalley Community Church,"Unit 5A Barrowside Business Park, Sleaty Road",Graiguecullen,Carlow,Carlow,R93 X037,bvcchurch.com,Independent Evangelical,52.843242,-6.936739
Bethany Church,16 Whitehall Close,,"Terenure, Dublin 6W",Dublin,,https://www.bethanychurch.ie,Independent Evangelical,53.306299,-6.318744
Bethlehem Christian Fellowship,"Unit 3B, Century Business Park, St Margaret's Road, Finglas",,Dublin 11,Dublin,D11 H972,https://www.bcfchurch.ie,Independent Evangelical,53.402099,-6.301452
Calvary Church Ballina,Ballina Family Resource Centre,Abbey St / Ardnaree,Ballina,Mayo,F26 C6P6,,Independent Evangelical,54.1143,-9.157
Calvary Church Castlebar,Upper Chapel St,,Castlebar,Mayo,F23 DT02,calvarychurchcastlebar.ie,Independent Evangelical,53.857,-9.2982
